Cluster,ObjectID,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12
Class_1,0,0.9681543685527437,0.9707191515741718,0.9087178042217621,0.9646072959461626,0.9309297608163801,0.8840925702917869,0.6296126912766512,0.6123568833317491,0.4391833957162414,0.3597046534302182,0.2582815540016808,0.29124249960009624
Class_1,1,0.9501247927570374,0.943025548677479,0.9702068736252097,0.8929950466667463,0.8707520528032523,0.8545487042438308,0.6165226677401707,0.6328213690516857,0.41942703752978044,0.31138347705180464,0.3001361504455767,0.29143773998132816
Class_1,2,0.9817936221914666,0.909782248646103,0.9210884920625749,0.9393372550391381,0.924709890582879,0.8386718221345093,0.6256316522362831,0.6226704646177561,0.43283393919993796,0.3699667094378191,0.3175005381207515,0.2595756726578935
Class_1,3,0.9515874494304473,0.933311802868931,0.9359883339680675,0.9223342157276577,0.9237690492572873,0.8655812633230998,0.601893352010514,0.6225631464154047,0.39029535066626403,0.351678833150352,0.2705343105120507,0.2631010905568202
Class_1,4,0.9432023526444993,0.9372650104055119,0.9279660002576827,0.9350188448662792,0.9150402317720183,0.8975516639675769,0.6011656346574755,0.6164359633070654,0.42972178768235697,0.3587848317546073,0.2605414884205186,0.3167468454053006
Class_1,5,0.9422000307847198,0.9102298808958043,0.9353131795105163,0.9464909481681724,0.9303952854194396,0.8796669774202137,0.5967739586999012,0.5936355516581265,0.3916100345167311,0.3131266464101094,0.27969138633629753,0.28150217797815025
Class_1,6,0.9257241726087678,0.9679923921373575,0.9229251504215947,0.9323690864874177,0.9078473062532956,0.8624149567393858,0.6532612193246803,0.6026512620034166,0.39886974326031976,0.3123170221268903,0.31210763284315557,0.3215436176099139
Class_1,7,0.9649141099650945,0.9777740465798285,0.9219929226360478,0.9373058097793634,0.866922559052878,0.8931256526390801,0.6304531377741682,0.5895881837039874,0.4400063474524846,0.34050945065588295,0.27564026736251174,0.27158024786053697
Class_1,8,0.9661664600501737,0.9761773809603247,0.9353445254039806,0.9296616488957538,0.9121101415249951,0.8883142430080883,0.6125210268237347,0.6123150999970155,0.3892606268191022,0.35808817587192754,0.2573375595725531,0.2889153371205068
Class_1,9,0.9139180498081199,0.9685266790775543,0.9670413971001789,0.9315273627005757,0.9219118117300754,0.8350083505990188,0.63207775295964,0.5628949508676823,0.42428023174831386,0.3321059888925349,0.3104620069045927,0.29615279849811116
Class_1,10,0.9586674423749998,0.942436366610063,0.9181731110832511,0.9217534016874178,0.9196752651405579,0.827239326986031,0.6629085069260601,0.5816958957491388,0.434154436550767,0.33717300190920046,0.3248776321062623,0.2706352631130161
Class_1,11,0.9252795111595151,0.915212392909759,0.932874500467171,0.9140403396579051,0.8862465121262848,0.8979944592187676,0.5881678069841325,0.633306356250402,0.4131425691492308,0.3358980369327259,0.2610074053359026,0.3092312199676466
Class_1,12,0.9814323489072585,0.9339053056966075,0.9519543792013418,0.8935215235166624,0.9097995802368509,0.8443963748724209,0.6225458327756889,0.6139689749603223,0.42270129557259595,0.3747319922193997,0.3178191778015355,0.2916421855158342
Class_1,13,0.9474161188564865,0.9363308350388013,0.9597984519152251,0.8931164959668038,0.8947328001833015,0.8961735300479865,0.6637724057071652,0.5689486866276885,0.44669151800050566,0.3141007921831706,0.262757286252193,0.31903002479472814
Class_1,14,0.9147183084872987,0.9721376968435939,0.9555398537689193,0.8980967338220541,0.9025052886340944,0.8627647040217528,0.6142393056782298,0.5663343604389522,0.40451780416443994,0.366557342559493,0.3232552033922697,0.31024281676886156
Class_1,15,0.9620579325409043,0.9272054026473275,0.9432197569950104,0.9307606169259784,0.9006881315473761,0.8589512805031965,0.6436928866875756,0.6210486073268107,0.39001885819735993,0.31836436522767547,0.2783096233877687,0.2651073159909484
Class_1,16,0.9737659895245904,0.931909182348517,0.9469641760261611,0.9270258541322215,0.8749438822332251,0.8282328462295799,0.6378562039843455,0.5620749542913203,0.4200377575708001,0.3685917713717028,0.3001494147307509,0.28198882107036555
